PMCID	Review	authors	title length	year	mesh	countries	abs sent	sent
PMC1955446	no	6	12	2007	18	USA	13	180
PMC2526549	no	2	12	2008	10	UK	9	109
PMC2806632	no	7	17	2010	13	USA	13	190
PMC2874259	no	6	13	2009	0	USA	15	140
PMC2919700	no	5	15	2010	0	Sweden	10	133
PMC3199881	no	5	16	2011	0	Sweden	9	109
PMC3199887	no	3	18	2011	0	Japan	10	136
PMC3285717	no	8	18	2012	20	USA	13	133
PMC3347877	no	8	15	2012	0	Norway	10	188
PMC3350345	no	10	23	2012	0	Japan	7	163
PMC3350354	no	7	17	2012	0	Finland	12	147
PMC3352696	no	13	14	2012	14	Netherlands	11	141
PMC3379731	no	10	14	2012	0	Finland	8	123
PMC3457029	no	8	7	2012	0	USA	7	73
PMC3506948	no	9	21	2012	0	USA	15	136
PMC3542580	no	8	22	2012	17	China	18	323
PMC3617973	no	3	12	2013	0	Spain	6	136
PMC3618029	no	3	12	2013	0	Sweden	6	121
PMC3638936	no	5	15	2013	0	Germany	7	127
PMC3647385	no	10	13	2012	17	USA	13	156
PMC3648449	no	5	13	2013	13	Netherlands	14	144
PMC3806583	no	26	15	2013	16	UK	9	131
PMC3808082	no	12	29	2013	21	UK	17	202
PMC3849429	no	8	12	2013	14	France	12	140
PMC3978675	no	6	12	2013	0	Spain	12	158
PMC3978681	no	4	11	2013	0	USA	11	112
PMC4022270	no	11	23	2014	19	Norway	15	214
PMC4024511	no	9	15	2014	0	Sweden	11	151
PMC4067716	no	2	23	2014	0	Japan	9	91
PMC4153851	no	14	10	2014	13	UK	10	126
PMC4176467	no	5	10	2014	0	Sweden	5	99
PMC4246671	no	5	18	2014	0	Sweden	17	155
PMC4255539	no	6	24	2014	0	Sweden	12	177
PMC4255993	no	7	16	2014	0	South Korea	9	96
PMC4266572	no	13	18	2014	0	USA	12	170
PMC4276668	no	6	13	2014	0	USA	9	68
PMC4338564	no	6	17	2015	0	Japan	19	185
PMC4342006	yes	2	10	2015	0	USA	13	190
PMC4396171	no	15	22	2015	0	USA	19	187
PMC4404928	no	1	11	2015	0	Iceland	9	133
PMC4448151	yes	1	7	2015	0	USA	14	173
PMC4483494	no	9	21	2015	0	Japan	9	176
PMC4546766	no	11	11	2015	0	Nigeria	11	156
PMC4593189	no	6	15	2015	13	Sweden	9	123
PMC4608626	no	7	18	2015	0	Japan	8	190
PMC4655489	no	7	17	2015	14	Taiwan	9	144
PMC4662295	no	7	14	2015	0	Denmark	9	137
PMC4677697	no	9	14	2015	0	Italy	11	101
PMC4691687	no	23	14	2015	13	Belgium	9	131
PMC4696332	no	1	17	2015	14	Italy	11	287
